,0
id,0.9495682031333367
living_area,0.026799207168415853
area_of_the_houseexcluding_basement,0.003663552630596102
living_area_renov,0.002394136518579912
number_of_bathrooms,0.0021403204874839176
longitude,0.0019395947181869463
postal_code,0.0014240256109864595
lot_area_renov,0.0014157289369667032
lattitude,0.0013880637843098195
built_year,0.0013868938704539274
lot_area,0.0013503002923455324
date,0.0013035573401547426
area_of_the_basement,0.0011861962057095599
distance_from_the_airport,0.0009733344407735732
number_of_bedrooms,0.0007405937678162545
number_of_views,0.0005636692064071162
grade_of_the_house,0.00042178795073869395
number_of_schools_nearby,0.0003990209552006578
renovation_year,0.00027659359322964986
waterfront_present,0.00023747589611990125
number_of_floors,0.000214040810027843
condition_of_the_house,0.00021370268216022666
